iter	Passed	Remaining
295	2822	6713
296	2832	6703
297	2840	6692
298	2850	6682
299	2858	6670
300	2868	6661
301	2877	6651
302	2889	6645
303	2898	6637
304	2907	6625
305	2916	6615
306	2925	6604
307	2934	6593
308	2943	6581
309	2952	6571
310	2961	6560
311	2970	6550
312	2980	6540
313	2989	6531
314	2999	6523
315	3009	6514
316	3019	6505
317	3028	6495
318	3037	6484
319	3046	6473
320	3055	6463
321	3065	6453
322	3074	6443
323	3083	6433
324	3093	6424
325	3102	6414
326	3112	6405
327	3122	6396
328	3131	6386
329	3140	6375
330	3149	6366
331	3159	6356
332	3169	6348
333	3178	6338
334	3187	6327
335	3197	6319
336	3207	6310
337	3217	6301
338	3227	6292
339	3237	6283
340	3247	6275
341	3257	6267
342	3267	6258
343	3277	6250
344	3287	6242
345	3297	6233
346	3308	6225
347	3318	6217
348	3328	6208
349	3338	6199
350	3348	6191
351	3357	6181
352	3367	6171
353	3376	6160
354	3385	6151
355	3395	6141
356	3404	6131
357	3413	6122
358	3423	6112
359	3432	6102
360	3441	6092
361	3450	6081
362	3459	6071
363	3469	6062
364	3479	6052
365	3488	6043
366	3497	6032
367	3507	6023
368	3516	6013
369	3525	6002
370	3534	5991
371	3543	5981
372	3553	5972
373	3563	5964
374	3572	5953
375	3581	5943
376	3590	5932
377	3599	5922
378	3608	5913
379	3618	5903
380	3628	5894
381	3638	5885
382	3647	5876
383	3656	5866
384	3666	5856
385	3675	5845
386	3684	5836
387	3693	5825
388	3702	5815
389	3711	5805
390	3721	5796
391	3731	5786
392	3739	5776
393	3749	5766
394	3758	5756
395	3767	5745
396	3776	5736
397	3785	5726
398	3794	5715
399	3803	5705
400	3812	5695
401	3822	5685
402	3831	5675
403	3840	5665
404	3849	5654
405	3858	5645
406	3868	5635
407	3877	5626
408	3886	5616
409	3895	5605
410	3906	5598
411	3916	5589
412	3926	5580
413	3935	5571
414	3945	5561
415	3956	5554
416	3966	5545
417	3976	5536
418	3986	5528
419	3997	5519
420	4007	5511
421	4016	5501
422	4034	5503
423	4044	5494
424	4054	5485
425	4064	5476
426	4074	5467
427	4083	5458
428	4092	5447
429	4102	5437
430	4112	5428
431	4121	5418
432	4130	5408
433	4140	5399
434	4149	5389
435	4158	5379
436	4168	5370
437	4177	5360
438	4186	5350
439	4196	5340
440	4205	5330
441	4214	5321
442	4224	5311
443	4233	5300
444	4242	5291
445	4252	5282
446	4261	5272
447	4271	5263
448	4281	5253
449	4291	5245
450	4302	5236
451	4311	5227
452	4321	5218
453	4331	5209
454	4341	5200
455	4351	5191
456	4361	5182
457	4372	5174
458	4381	5164
459	4391	5155
460	4401	5145
461	4411	5137
462	4420	5127
463	4430	5117
464	4439	5107
465	4448	5097
466	4458	5088
467	4467	5078
468	4476	5068
469	4485	5058
470	4494	5048
471	4503	5038
472	4513	5028
473	4522	5018
474	4531	5008
475	4540	4998
476	4550	4989
477	4560	4980
478	4570	4970
479	4579	4961
480	4588	4951
481	4598	4941
482	4607	4931
483	4616	4921
484	4626	4912
485	4635	4902
486	4644	4892
487	4653	4882
488	4662	4872
489	4672	4863
490	4682	4854
491	4693	4846
492	4703	4837
493	4713	4828
494	4723	4819
495	4734	4810
496	4747	4804
497	4757	4795
498	4767	4786
499	4776	4776
500	4786	4767
501	4796	4758
502	4806	4749
503	4816	4740
504	4827	4731
505	4836	4721
506	4845	4711
507	4854	4701
508	4864	4692
509	4873	4681
510	4882	4672
511	4891	4662
512	4900	4652
513	4910	4642
514	4919	4632
515	4928	4622
516	4938	4613
517	4948	4604
518	4958	4595
519	4969	4586
520	4978	4577
521	4987	4567
522	4997	4558
523	5007	4548
524	5017	4540
525	5030	4532
526	5040	4524
527	5050	4514
528	5060	4505
529	5069	4495
530	5078	4485
531	5087	4475
532	5096	4465
533	5105	4455
534	5114	4444
535	5123	4435
536	5132	4424
537	5140	4414
538	5149	4404
539	5158	4394
540	5168	4385
541	5177	4374
542	5186	4364
543	5195	4354
544	5203	4344
545	5212	4334
546	5221	4324
547	5230	4313
548	5239	4304
549	5247	4293
550	5257	4283
551	5266	4274
552	5276	4265
553	5286	4255
554	5295	4246
555	5305	4236
556	5314	4226
557	5324	4217
558	5333	4207
559	5342	4198
560	5352	4188
561	5361	4178
562	5371	4168
563	5381	4160
564	5391	4150
565	5400	4141
566	5410	4131
567	5419	4122
568	5428	4112
569	5437	4101
570	5446	4091
571	5455	4081
572	5463	4071
573	5472	4061
574	5481	4051
575	5490	4041
576	5499	4031
577	5508	4021
578	5517	4012
579	5526	4001
580	5535	3992
581	5544	3982
582	5553	3972
583	5562	3962
584	5571	3952
585	5580	3942
586	5589	3932
587	5598	3922
588	5607	3912
589	5616	3903
590	5625	3893
591	5634	3883
592	5643	3873
593	5652	3863
594	5662	3854
595	5672	3844
596	5681	3835
597	5691	3825
598	5700	3816
599	5711	3807
600	5720	3797
601	5730	3788
602	5740	3779
603	5750	3770
604	5760	3760
605	5770	3751
606	5780	3742
607	5791	3733
608	5800	3724
609	5810	3715
610	5820	3705
611	5830	3696
612	5840	3687
613	5850	3677
614	5860	3668
615	5870	3659
616	5879	3649
617	5890	3640
618	5899	3631
619	5909	3622
620	5918	3612
621	5929	3603
622	5939	3594
623	5949	3584
624	5958	3574
625	5967	3565
626	5976	3555
627	5986	3545
628	5995	3536
629	6004	3526
630	6013	3516
631	6022	3506
632	6032	3497
633	6041	3487
634	6050	3477
635	6058	3467
636	6067	3457
637	6077	3448
638	6087	3438
639	6096	3429
640	6105	3419
641	6114	3409
642	6123	3399
643	6133	3390
644	6143	3381
645	6152	3371
646	6162	3362
647	6172	3352
648	6181	3343
649	6191	3333
650	6201	3324
651	6212	3315
652	6223	3307
653	6233	3298
654	6244	3288
655	6254	3279
656	6264	3270
657	6274	3261
658	6285	3252
659	6294	3242
660	6303	3233
661	6313	3223
662	6324	3214
663	6333	3204
664	6342	3195
665	6351	3185
666	6361	3175
667	6370	3166
668	6379	3156
669	6388	3146
670	6397	3136
671	6407	3127
672	6416	3117
673	6425	3107
674	6435	3098
675	6444	3088
676	6453	3079
677	6463	3069
678	6471	3059
679	6480	3049
680	6490	3040
681	6500	3030
682	6509	3021
683	6518	3011
684	6528	3002
685	6538	2992
686	6547	2982
687	6555	2972
688	6564	2962
689	6574	2953
690	6583	2943
691	6592	2934
692	6602	2924
693	6611	2914
694	6620	2905
695	6629	2895
696	6639	2886
697	6648	2876
698	6657	2866
699	6667	2857
700	6676	2847
701	6685	2838
702	6694	2828
703	6704	2819
704	6713	2809
705	6723	2799
706	6731	2789
707	6740	2780
708	6748	2770
709	6757	2760
710	6766	2750
711	6775	2740
712	6784	2730
713	6793	2721
714	6802	2711
715	6811	2701
716	6820	2691
717	6829	2682
718	6838	2672
719	6847	2663
720	6856	2653
721	6865	2643
722	6874	2633
723	6883	2624
724	6892	2614
725	6900	2604
726	6909	2594
727	6919	2585
728	6928	2575
729	6936	2565
730	6946	2556
731	6955	2546
732	6965	2537
733	6976	2528
734	6985	2518
735	6993	2508
736	7003	2499
737	7012	2489
738	7020	2479
739	7029	2469
740	7038	2460
741	7046	2450
742	7055	2440
743	7065	2431
744	7074	2421
745	7083	2411
746	7091	2401
747	7100	2392
748	7108	2382
749	7117	2372
750	7127	2363
751	7135	2353
752	7144	2343
753	7152	2333
754	7161	2323
755	7170	2314
756	7179	2304
757	7188	2295
758	7197	2285
759	7206	2275
760	7215	2265
761	7224	2256
762	7233	2246
763	7242	2237
764	7251	2227
765	7261	2218
766	7271	2209
767	7280	2199
768	7291	2190
769	7300	2180
770	7309	2171
771	7318	2161
772	7328	2152
773	7337	2142
774	7345	2132
775	7354	2123
776	7363	2113
777	7371	2103
778	7380	2093
779	7389	2084
780	7398	2074
781	7407	2065
782	7419	2056
783	7431	2047
784	7440	2037
785	7448	2028
786	7458	2018
787	7467	2009
788	7476	1999
789	7485	1989
790	7495	1980
791	7503	1970
792	7513	1961
793	7522	1951
794	7536	1943
795	7544	1933
796	7554	1924
797	7563	1914
798	7572	1904
799	7581	1895
800	7590	1885
801	7600	1876
802	7608	1866
803	7617	1856
804	7626	1847
805	7635	1837
806	7645	1828
807	7653	1818
808	7662	1809
809	7671	1799
810	7680	1789
811	7689	1780
812	7697	1770
813	7706	1760
814	7715	1751
815	7724	1741
816	7732	1732
817	7742	1722
818	7751	1713
819	7760	1703
820	7768	1693
821	7777	1684
822	7786	1674
823	7795	1664
824	7804	1655
825	7813	1645
826	7822	1636
827	7831	1626
828	7839	1617
829	7848	1607
830	7857	1597
831	7866	1588
832	7874	1578
833	7883	1569
834	7892	1559
835	7901	1550
836	7911	1540
837	7920	1531
838	7928	1521
839	7937	1511
840	7945	1502
841	7955	1492
842	7964	1483
843	7973	1473
844	7982	1464
845	7991	1454
846	8000	1445
847	8009	1435
848	8017	1426
849	8026	1416
850	8035	1406
851	8044	1397
852	8053	1387
853	8063	1378
854	8071	1368
855	8080	1359
856	8089	1349
857	8098	1340
858	8107	1330
859	8116	1321
860	8125	1311
861	8134	1302
862	8143	1292
863	8153	1283
864	8162	1273
865	8171	1264
866	8180	1254
867	8188	1245
868	8197	1235
869	8206	1226
870	8214	1216
871	8223	1207
872	8231	1197
873	8240	1188
874	8250	1178
875	8258	1169
876	8266	1159
877	8276	1150
878	8285	1140
879	8294	1131
880	8302	1121
881	8311	1112
882	8320	1102
883	8328	1092
884	8337	1083
885	8346	1073
886	8355	1064
887	8364	1054
888	8372	1045
889	8381	1035
890	8391	1026
891	8400	1017
892	8408	1007
893	8417	998
894	8426	988
895	8435	979
896	8444	969
897	8454	960
898	8462	950
899	8471	941
900	8480	931
901	8489	922
902	8497	912
903	8506	903
904	8515	893
905	8524	884
906	8533	874
907	8542	865
908	8551	856
909	8561	846
910	8570	837
911	8580	827
912	8589	818
913	8598	809
914	8606	799
915	8616	790
916	8624	780
917	8633	771
918	8642	761
919	8651	752
920	8660	742
921	8670	733
922	8679	724
923	8687	714
924	8696	705
925	8705	695
926	8715	686
927	8723	676
928	8733	667
929	8742	658
930	8751	648
931	8760	639
932	8769	629
933	8778	620
934	8787	610
935	8796	601
936	8805	592
937	8814	582
938	8823	573
939	8831	563
940	8840	554
941	8850	544
942	8859	535
943	8869	526
944	8879	516
945	8889	507
946	8899	498
947	8909	488
948	8918	479
949	8928	469
950	8937	460
951	8947	451
952	8957	441
953	8967	432
954	8977	423
955	8987	413
956	8997	404
957	9007	394
958	9017	385
959	9027	376
960	9037	366
961	9047	357
962	9056	347
963	9066	338
964	9076	329
965	9086	319
966	9095	310
967	9105	300
968	9115	291
969	9125	282
970	9135	272
971	9145	263
972	9154	254
973	9164	244
974	9173	235
975	9182	225
976	9192	216
977	9201	206
978	9210	197
979	9219	188
980	9228	178
981	9249	169
982	9258	160
983	9268	150
984	9277	141
985	9286	131
986	9296	122
987	9304	113
988	9313	103
989	9323	94
990	9332	84
991	9342	75
992	9351	65
993	9361	56
994	9370	47
995	9379	37
996	9388	28
997	9398	18
998	9408	9
999	9417	0
