iter	Logloss
0	0.600147172
1	0.525124463
2	0.4769734612
3	0.4385311939
4	0.4061383555
5	0.3830895084
6	0.3664214566
7	0.3476135786
8	0.3322609875
9	0.3088018592
10	0.2930345592
11	0.2805785111
12	0.2597130992
13	0.2508932884
14	0.2373347963
15	0.2330782116
16	0.222664798
17	0.2148017293
18	0.2097032105
19	0.2050572627
20	0.2028379658
21	0.1996307596
22	0.1962213632
23	0.1940059419
24	0.1916169504
25	0.187675543
26	0.1848407873
27	0.1832503219
28	0.1794936903
29	0.1775156568
30	0.1748446253
31	0.1736270787
32	0.1707274238
33	0.1693088374
34	0.1673059254
35	0.1658560512
36	0.1630242071
37	0.1617400971
38	0.1583139279
39	0.1511008991
40	0.15009247
41	0.149115155
42	0.14759954
43	0.1467353574
44	0.1456933118
45	0.1445962952
46	0.1437775624
47	0.1429861844
48	0.1424005251
49	0.1416326509
50	0.1406822581
51	0.1401459608
52	0.1394629763
53	0.1385604829
54	0.137996037
55	0.1373768127
56	0.1367117234
57	0.13589738
58	0.1349956224
59	0.1336808202
60	0.1295744779
61	0.1292035158
62	0.1287371871
63	0.1280290688
64	0.1276400852
65	0.1267798335
66	0.1262232621
67	0.1257886297
68	0.1254178889
69	0.1243492084
70	0.1232575988
71	0.1223884414
72	0.1218817163
73	0.1212015056
74	0.1208286719
75	0.1203009882
76	0.1198771023
77	0.1195840846
78	0.1190010818
79	0.1186814286
80	0.1183343327
81	0.1179684657
82	0.1176473127
83	0.1173819871
84	0.1170622412
85	0.1164414527
86	0.1160252678
87	0.115552161
88	0.1152398002
89	0.1150145283
90	0.1143799839
91	0.1121946273
92	0.11194005
93	0.1116780986
94	0.1107349008
95	0.1105733762
96	0.1103951971
97	0.1100811516
98	0.1097357185
99	0.1095733588
100	0.1093696408
101	0.1091933813
102	0.1090303701
103	0.1087993881
104	0.1084390247
105	0.1080121619
106	0.1078554105
107	0.1073994483
108	0.1070961898
109	0.1068522085
110	0.1065582378
111	0.1062196113
112	0.1058838638
113	0.1054480877
114	0.1052158623
115	0.1050554592
116	0.1049143658
117	0.104603434
118	0.1043162328
119	0.1039754494
120	0.1037168723
121	0.1035352454
122	0.1034183144
123	0.103257739
124	0.1031750369
125	0.1030310308
126	0.1026818107
127	0.1025066151
128	0.102284082
129	0.1021693087
130	0.1019394451
131	0.1017933956
132	0.1015064951
133	0.1010556265
134	0.1007201085
135	0.1006293383
136	0.1004807792
137	0.1001102712
138	0.09996273606
139	0.0998176614
140	0.09970388142
141	0.09961583227
142	0.09944054009
143	0.09925316281
144	0.09911267509
145	0.09881811457
146	0.09867686882
147	0.098411113
148	0.09827186849
149	0.09813086492
150	0.09795850147
151	0.0977830951
152	0.09726495506
153	0.09701306655
154	0.09689009023
155	0.09658667337
156	0.09650326945
157	0.09640237177
158	0.09622536285
159	0.09612521285
160	0.09603392147
161	0.09590286745
162	0.09581269105
163	0.09560339227
164	0.09536923937
165	0.09506831024
166	0.09494405404
167	0.09484070928
168	0.09462288688
169	0.09449321385
170	0.09441064713
171	0.09380773192
172	0.09371577877
173	0.09357214819
174	0.09308506926
175	0.09298707388
176	0.0928996912
177	0.0927910436
178	0.09264262817
179	0.09194277879
180	0.09184985158
181	0.09174718835
182	0.09168989117
183	0.09135843065
184	0.09126637127
185	0.09115715757
186	0.09106120424
187	0.09092736739
188	0.0907964665
189	0.09067254042
190	0.0905476499
191	0.0904530709
192	0.09036326244
193	0.09032082742
194	0.09019684143
195	0.0900800084
196	0.09001612153
197	0.08976597125
198	0.08955744959
199	0.08936406692
200	0.08927075468
201	0.08919533773
202	0.08909092439
203	0.08902890345
204	0.08895711923
205	0.088817081
206	0.08875834459
207	0.08864749205
208	0.08856043238
209	0.08839196075
210	0.08833900034
211	0.08824096967
212	0.08817349588
213	0.08809523258
214	0.08788168756
215	0.08775622247
216	0.08760148033
217	0.08754295691
218	0.08748626423
219	0.08731935632
220	0.08711504824
221	0.08687747382
222	0.08682366519
223	0.08665093612
224	0.086541678
225	0.08647686523
226	0.08641650041
227	0.08635544188
228	0.08629797089
229	0.08621965262
230	0.08604343009
231	0.08589916683
232	0.08581312198
233	0.08571322012
234	0.08563444659
235	0.08554874212
236	0.08537324099
237	0.08528138314
238	0.08522675896
239	0.08517173343
240	0.08510799236
241	0.08502262477
242	0.08497767309
243	0.08474943862
244	0.08467486244
245	0.08461496039
246	0.08444953706
247	0.08439500882
248	0.08434446743
249	0.08429804194
250	0.08422515523
251	0.08410858621
252	0.08403566745
253	0.08349984365
254	0.08344987192
255	0.0833681075
256	0.08330378062
257	0.08327818082
258	0.08320393664
259	0.08314815921
260	0.0831024174
261	0.08303933543
262	0.08294870757
263	0.08286952351
264	0.08281688293
265	0.08275101484
266	0.08269163498
267	0.0826093667
268	0.08249813191
269	0.08241289578
270	0.08231369927
271	0.08226899652
272	0.08220502002
273	0.08214434182
274	0.08204650772
275	0.08198452153
276	0.08187167891
277	0.08180705098
278	0.08174827843
279	0.0817151687
280	0.08164824973
281	0.08158098986
282	0.08152704108
283	0.08145640977
284	0.08139145164
285	0.08135061398
286	0.08126076958
287	0.08113913055
288	0.08105750697
289	0.08099506282
290	0.08093142207
291	0.08090114461
292	0.0808349355
293	0.08076937329
294	0.08069890432
295	0.08060284067
296	0.08053269831
297	0.08035651721
298	0.0802578859
299	0.08013838337
300	0.08010815526
301	0.08002431911
302	0.07997925734
303	0.07991334317
304	0.07987911768
305	0.07980110225
306	0.07965041605
307	0.07961009741
308	0.07959042063
309	0.07947223553
310	0.07940930802
311	0.07935505131
312	0.07930165167
313	0.07924294788
314	0.0791580241
315	0.07911882218
316	0.0790863729
317	0.07905365972
318	0.07900317495
319	0.0789604514
320	0.07891085148
321	0.0788280429
322	0.07878807447
323	0.07871181301
324	0.07865487595
325	0.07860260182
326	0.07851657174
327	0.07846234318
328	0.07839376533
329	0.07834542373
330	0.07828131366
331	0.07823677887
332	0.07816664568
333	0.07813549084
334	0.0780734006
335	0.07802220815
336	0.0779935911
337	0.07791859181
338	0.07788341684
339	0.07785868921
340	0.0777995015
341	0.07775845539
342	0.07771483368
343	0.07770192064
344	0.07764341061
345	0.07760268338
346	0.07756244703
347	0.07751731783
348	0.07747229642
349	0.07741203249
350	0.07733978835
351	0.07731319337
352	0.07726222793
353	0.07723689338
354	0.0771812429
355	0.07706993833
356	0.07701333322
357	0.07695669415
358	0.07692158415
359	0.07688254838
360	0.07683379133
361	0.07676465015
362	0.07672137993
363	0.07667741674
364	0.07664706404
365	0.07659354315
366	0.07654589142
367	0.0764924484
368	0.07642678388
369	0.07636927097
370	0.07631697588
371	0.07605108638
372	0.07601565248
373	0.075976366
374	0.07591754378
375	0.07586016096
376	0.07582021976
377	0.07577039882
378	0.07572018814
379	0.07567900242
380	0.07563663584
381	0.07560212321
382	0.07556467561
383	0.07552514121
384	0.07548860146
385	0.0754567605
386	0.07540965246
387	0.07538679046
388	0.07532163908
389	0.07512370764
390	0.07506933396
391	0.07501439869
392	0.07498287003
393	0.07494963058
394	0.07489753752
395	0.07486091945
396	0.07481499145
397	0.07476135863
398	0.07472198923
399	0.07470087556
400	0.07467630649
401	0.07461891929
402	0.07458274677
403	0.07454864523
404	0.0745321964
405	0.07451059091
406	0.07447461751
407	0.07439965743
408	0.07436325488
409	0.07433180511
410	0.07428211895
411	0.07423932071
412	0.07419082478
413	0.07415035753
414	0.07412218703
415	0.07406597873
416	0.07401500134
417	0.07397234037
418	0.07388677796
419	0.07384798473
420	0.07380327928
421	0.07376927964
422	0.07372637176
423	0.07367127699
424	0.07362168659
425	0.07356586327
426	0.07352491399
427	0.07348217662
428	0.07346708185
429	0.07341642554
430	0.073318652
431	0.07326719416
432	0.07322873076
433	0.07318741337
434	0.07314204513
435	0.07310910666
436	0.07306893705
437	0.07302990811
438	0.07296366012
439	0.07292048485
440	0.07288461053
441	0.0728413136
442	0.07280271262
443	0.07277600888
444	0.07274963728
445	0.07267858929
446	0.07264658752
447	0.07260969071
448	0.07255101198
449	0.07250917926
450	0.07247274061
451	0.07243834122
452	0.07240834264
453	0.07237192624
454	0.07230194148
455	0.07226131243
456	0.07223396983
457	0.0721910331
458	0.07217133414
459	0.07213056672
460	0.07208698988
461	0.07203845016
462	0.07200792665
463	0.07197965448
464	0.0719395838
465	0.0718839212
466	0.07183762257
467	0.0717989047
468	0.07175304587
469	0.07172926339
470	0.07169357324
471	0.07164827043
472	0.0716253083
473	0.07158403066
474	0.07154204695
475	0.07151431904
476	0.07148051702
477	0.07142238854
478	0.0713714599
479	0.07132288039
480	0.07127736329
481	0.07123215525
482	0.07119198162
483	0.07115108204
484	0.07110713081
485	0.07107125475
486	0.07100167854
487	0.07096181089
488	0.07090241142
489	0.07087447579
490	0.070787927
491	0.07075279362
492	0.07068467091
493	0.07065008114
494	0.07059646157
495	0.07057500103
496	0.07053727164
497	0.07048879659
498	0.0704631441
499	0.07043003899
500	0.07039185438
501	0.07033117068
502	0.07029289788
503	0.0702614133
504	0.07023920405
505	0.07019275692
506	0.07016056404
507	0.07011089589
508	0.07007428422
509	0.0700322772
510	0.06997926208
511	0.06993973679
512	0.06989878397
513	0.06986116011
514	0.06982921795
515	0.06979143952
516	0.06976716664
517	0.06974325987
518	0.06971463221
519	0.06964867684
520	0.06961186723
521	0.06959252435
522	0.06950154232
523	0.06945758761
524	0.06942434528
525	0.06938968754
526	0.06936111619
527	0.06931997182
528	0.06928265904
529	0.06925523324
530	0.06921608219
531	0.06919249928
532	0.06915965174
533	0.06915079696
534	0.06910193417
535	0.06907553033
536	0.06902150872
537	0.06898909054
538	0.06893657533
539	0.06889859309
540	0.0688698941
541	0.06884878565
542	0.06881619584
543	0.06878019836
544	0.06873874966
545	0.06859892499
546	0.06855209709
547	0.06852010952
548	0.06848107873
549	0.06845228416
550	0.06842405183
551	0.06841011768
552	0.06838073996
553	0.06834384179
554	0.06831085176
555	0.06828100999
556	0.06824983279
557	0.06821792576
558	0.06818425667
559	0.06815886828
560	0.06814013266
561	0.06813804673
562	0.06809640431
563	0.06807510013
564	0.06804580902
565	0.06801098623
566	0.06797424256
567	0.06793882748
568	0.06790892143
569	0.06789629682
570	0.06785977962
571	0.06782514626
572	0.06780051508
573	0.06775798362
574	0.06773125763
575	0.06769380016
576	0.06766742241
577	0.067614687
578	0.06756840343
579	0.06753511347
580	0.06750784625
581	0.06747165103
582	0.06742345802
583	0.06738132153
584	0.06735099102
585	0.06731347333
586	0.06728511957
587	0.06725137802
588	0.06722280813
589	0.06719622903
590	0.06715732326
591	0.06712999748
592	0.0671003499
593	0.06703933087
594	0.06700863951
595	0.06698261819
596	0.06694457894
597	0.06689286205
598	0.0668572337
599	0.06679792196
600	0.06677068887
601	0.0667396812
602	0.06671896084
603	0.06668661931
604	0.06665593125
605	0.06662664089
606	0.06658772364
607	0.06656014391
608	0.0664747307
609	0.06642928109
610	0.06639055769
611	0.06635710747
612	0.06629109284
613	0.06625660111
614	0.06623533368
615	0.06620397083
616	0.06618569287
617	0.06613368779
618	0.06609814843
619	0.06607170283
620	0.06603770808
621	0.0660144712
622	0.06599069861
623	0.06595666065
624	0.06592670152
625	0.06587598645
626	0.06585576677
627	0.06581895717
628	0.06580240144
629	0.06578020446
630	0.06574037918
631	0.06572131925
632	0.06570449194
633	0.06567197962
634	0.06564612187
635	0.06561242595
636	0.0655830082
637	0.06555257779
638	0.06552609712
639	0.06549324492
640	0.06545661587
641	0.06542676275
642	0.06539410346
643	0.06536307252
644	0.06533926874
645	0.06532445365
646	0.06529600552
647	0.06527490407
648	0.06521785379
649	0.06521464554
650	0.06519164002
651	0.06517215445
652	0.06513372097
653	0.06509339092
654	0.0650567289
655	0.06502775524
656	0.06500447356
657	0.06496391734
658	0.06492013542
659	0.06490429703
660	0.06488580175
661	0.06486317729
662	0.06483944924
663	0.06480981209
664	0.06478764742
665	0.06475804324
666	0.06472483422
667	0.06468914281
668	0.06466606355
669	0.06464505987
